track__artists__name,track__name,track__preview_url
Corey Hart,Sunglasses At Night,https://p.scdn.co/mp3-preview/32660bd016ae58790af52e99aca4da439d64c86d?cid=774b29d4f13844c495f206cafdad9c86
Madonna,Material Girl,https://p.scdn.co/mp3-preview/5ff7f7b7d2af1a747da275bed3c49054c01b5b1c?cid=774b29d4f13844c495f206cafdad9c86
George Michael,Faith - Remastered,https://p.scdn.co/mp3-preview/ad227db8dedb8bbe85768d81a804db1d6e537967?cid=774b29d4f13844c495f206cafdad9c86
Michael Jackson,Thriller,https://p.scdn.co/mp3-preview/0b62db54da539b34856448e509c30ce4601931f5?cid=774b29d4f13844c495f206cafdad9c86
Katrina & The Waves,Walking On Sunshine,https://p.scdn.co/mp3-preview/27b4eb723337cb13604727c4e4e421dad7cb1adf?cid=774b29d4f13844c495f206cafdad9c86
Tracy Chapman,Fast Car,https://p.scdn.co/mp3-preview/d7c7088e15ff83fd4352fa675f52e29986671b0c?cid=774b29d4f13844c495f206cafdad9c86
George Harrison,Got My Mind Set On You - Extended Version,https://p.scdn.co/mp3-preview/8b9cbedb2b196bfe1f0f6e79dc88e3f9aba1d422?cid=774b29d4f13844c495f206cafdad9c86
Gloria Estefan,Conga,https://p.scdn.co/mp3-preview/e754f2eec61bfb280ec8c2faa4bba9a33f2919f6?cid=774b29d4f13844c495f206cafdad9c86
Guns N' Roses,Paradise City,https://p.scdn.co/mp3-preview/9a991404c48dba35f8a52bf409762cdadd4aa008?cid=774b29d4f13844c495f206cafdad9c86
Duran Duran,Hungry Like The Wolf - 2009 Remastered Version,https://p.scdn.co/mp3-preview/5776fc355b811f08fc4143bcf039706d56bcc843?cid=774b29d4f13844c495f206cafdad9c86
Michael Jackson,Smooth Criminal - 2012 Remaster,https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=774b29d4f13844c495f206cafdad9c86
